section,variant,n,mean_return,lo95,hi95,hit_tp_rate
unconditional,no_cost,1205,-0.0217675254322861,-0.04654027846240929,0.0013190127943242611,0.17593360995850624
unconditional,median_spread,1205,-0.0338925254322861,-0.05866527846240929,-0.01080598720567574,0.17593360995850624
unconditional,mean_spread,1205,-0.03958002543228611,-0.06435277846240929,-0.016493487205675745,0.17593360995850624
unconditional,p90_spread,1205,-0.0615175254322861,-0.08629027846240928,-0.03843098720567574,0.17593360995850624
by_bucket,SHORT_SWING,255,-0.039987725901918104,-0.11404113491509461,0.0572482041418538,0.2784313725490196
by_bucket,SWING,950,-0.03225644530622699,-0.04893060966475411,-0.014391689854887552,0.14842105263157895
by_month,2026-02,239,-0.0833178831060275,,,0.14225941422594143
by_month,2026-03,600,-0.024014404896293327,,,0.175
by_month,2026-04,38,-0.05867621296075939,,,0.3157894736842105
by_month,2026-05,12,-0.08928214340481729,,,0.08333333333333333
by_month,2026-06,13,0.05123052682070316,,,0.3076923076923077
by_month,2026-07,72,0.015417294075121614,,,0.2777777777777778
by_month,2026-08,231,-0.02161833919696717,,,0.15584415584415584
