factor,coverage_orion_like,n_nonnull
f_minutes_open,1.0,1205
f_minutes_close,1.0,1205
f_logmoney,1.0,1205
f_otm,1.0,1205
f_dte,1.0,1205
f_log_prem,1.0,1205
f_ask_share,1.0,1205
f_trade_count,1.0,1205
f_vol_oi,0.9867219917012449,1189
f_prior_flow_align,0.8398340248962656,1012
f_prior_flow,0.8398340248962656,1012
f_iv_rank,0.8298755186721992,1000
f_maxpain_dist,0.750207468879668,904
f_iv,0.6373443983402489,768
f_abs_delta,0.6373443983402489,768
f_und_5d,0.5850622406639004,705
f_mom_align_5d,0.5850622406639004,705
f_und_1d,0.5850622406639004,705
f_hujacobs,0.5850622406639004,705
f_rv20,0.5850622406639004,705
f_und_30d,0.5850622406639004,705
f_gamma_lag,0.5784232365145229,697
f_sweepshare_lag,0.5784232365145229,697
f_mom5d_lag,0.5784232365145229,697
f_netbull_lag,0.5784232365145229,697
f_rsi14_lag,0.5784232365145229,697
f_tox_lag,0.5311203319502075,640
f_mktgex_lag,0.5311203319502075,640
f_osivrank_lag,0.5253112033195021,633
f_osiv_lag,0.5253112033195021,633
f_mom20d_lag,0.47883817427385894,577
f_vol20_lag,0.47883817427385894,577
f_hujacobs_lag,0.47883817427385894,577
f_vrp,0.46390041493775935,559
f_oibuild_lag,0.29045643153526973,350
f_oimom_lag,0.29045643153526973,350
f_ts_slope_lag,0.13526970954356846,163
