factor,gate,n_train,n_test,is_gain_pp,oos_base_ret,oos_base_lo95,oos_base_hi95,oos_gated_ret,oos_gated_lo95,oos_gated_hi95,oos_gain_pp,trades_kept_pct
f_abs_delta,drop bottom tercile (edges from train),449,319,2.094092415080158,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,0.02384128655856328,-0.020080464113240222,0.08133085993141012,3.503550719443438,67.0846394984326
f_mom_align_5d,drop bottom tercile (edges from train),386,319,1.9314604134658755,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,0.019376363166112163,-0.035730759206455395,0.08979173772265295,3.057058380198326,62.06896551724138
f_ask_share,drop top tercile (edges from train),886,319,0.7452522321984089,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,0.014776548642445866,-0.04547934362161329,0.10209638976235665,2.5970769278316967,44.5141065830721
f_vol_oi,drop bottom tercile (edges from train),880,309,1.2168618559945017,-0.0076467270665170756,-0.04821437288815056,0.04507506287474364,0.008532745672441965,-0.03078129798747605,0.056095536138794685,1.617947273895904,66.01941747572816
f_tox_lag,drop bottom tercile (edges from train),321,319,0.4757012064076579,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,0.0026905801087086347,-0.05604682570461992,0.061763013569817275,1.3884800744579737,63.94984326018809
f_minutes_close,drop top tercile (edges from train),886,319,0.13111289836964593,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.0014603999758217034,-0.036426824711314754,0.045243356026858174,0.9733820660049398,65.8307210031348
f_logmoney,drop bottom tercile (edges from train),886,319,0.8639833435863421,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.002699687044858456,-0.058743222056036395,0.07037461431608072,0.8494533591012645,68.65203761755487
f_minutes_open,drop bottom tercile (edges from train),886,319,0.1831801965773039,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.0035878030455691705,-0.037986660835482446,0.04187633756497015,0.7606417590301932,66.4576802507837
f_rv20,drop bottom tercile (edges from train),386,319,2.0440103791968007,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.007310339934042932,-0.04874057653008369,0.04750146344279808,0.38838807018281696,86.83385579937304
f_trade_count,drop top tercile (edges from train),886,319,0.24184228818282666,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.007754935877444649,-0.04685256467546197,0.04654961805726092,0.34392847584264524,73.98119122257053
f_otm,drop top tercile (edges from train),886,319,0.015890119469035013,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.008944097701439342,-0.04997187191316644,0.03807711624425381,0.22501229344317597,69.27899686520375
f_vol20_lag,drop bottom tercile (edges from train),258,319,0.07004954583569659,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.008978722305898943,-0.048968218492850074,0.043481102709685075,0.22154983299721587,90.28213166144201
f_osiv_lag,drop bottom tercile (edges from train),325,308,2.3049639534579223,-0.018296937592205582,-0.053077993588645025,0.027638406731952413,-0.016746627193606874,-0.05589738126892375,0.030889393194866565,0.15503103985987088,86.36363636363636
f_und_1d,drop top tercile (edges from train),386,319,-0.03075143487820016,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.01057346833248186,-0.05295368689565101,0.031238536830093443,0.06207523033892413,35.42319749216301
f_hujacobs_lag,drop top tercile (edges from train),258,319,-0.44779494859298263,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.010928598168781145,-0.07303085286464074,0.07198851800273481,0.026562246708995707,71.78683385579937
f_sweepshare_lag,drop bottom tercile (edges from train),378,319,2.0124893777923516,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.01105690923466229,-0.0583644851069625,0.0524009900616162,0.013731140120881204,63.00940438871473
f_und_30d,drop top tercile (edges from train),386,319,0.11746239366224077,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.01132632067777923,-0.051811426761851076,0.028581447286486837,-0.013210004190812759,61.75548589341693
f_prior_flow_align,drop top tercile (edges from train),801,211,0.7116031219470277,-0.009537029936771637,-0.056181958477546395,0.04461375591899276,-0.009729999895755785,-0.06191539451545299,0.06317013982648989,-0.019296995898414847,79.14691943127961
f_netbull_lag,drop top tercile (edges from train),378,319,1.7754615431907033,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.012268925886278464,-0.05101839151765301,0.034185432962713896,-0.1074705250407362,83.69905956112854
f_vrp,drop bottom tercile (edges from train),240,319,1.16064160313205,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.01257019427217339,-0.05136105923152894,0.03606697770852277,-0.1375973636302288,93.41692789968651
f_rsi14_lag,drop bottom tercile (edges from train),378,319,0.9114383728472518,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.014254651709951336,-0.047294196525282876,0.03385112626519948,-0.3060431074080234,79.62382445141067
f_und_5d,drop top tercile (edges from train),386,319,0.2709940542371787,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.018110392803588175,-0.065374229748971,0.028151455452379272,-0.6916172167717073,58.93416927899686
f_hujacobs,drop bottom tercile (edges from train),386,319,0.7762557966960185,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.021320072435227964,-0.08340711086193206,0.03188292328435669,-1.0125851799356862,40.12539184952978
f_maxpain_dist,drop top tercile (edges from train),588,316,0.4897875313591059,-0.010182893457030127,-0.04894530500287788,0.04067680592053376,-0.022732369763213505,-0.11829136920782701,0.07378977691148421,-1.2549476306183378,16.77215189873418
f_iv,drop top tercile (edges from train),449,319,1.9982870900114766,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.024582159669438733,-0.07259518448229661,0.01810219915051773,-1.338793903356763,57.36677115987461
f_log_prem,drop bottom tercile (edges from train),886,319,0.34599685818296616,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.02481117791089661,-0.05919595271890556,0.027718912733923205,-1.3616957275025507,59.87460815047022
f_mom5d_lag,drop bottom tercile (edges from train),378,319,1.0733711660284493,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.032654906248449245,-0.06767434777001906,0.011378235088048874,-2.146068561257814,64.57680250783699
f_dte,drop bottom tercile (edges from train),886,319,1.0143294430791996,-0.011194220635871102,-0.04886980485344671,0.038478904736833956,-0.03318378767548059,-0.06581556448606903,-0.003377845017483555,-2.1989567039609486,78.99686520376176
f_iv_rank,drop top tercile (edges from train),684,316,1.0589424560744687,-0.010182893457030127,-0.04894530500287788,0.04067680592053376,-0.037341779412117165,-0.08580875359146163,0.010026926313711913,-2.7158885955087038,41.77215189873418
f_prior_flow,drop bottom tercile (edges from train),801,211,0.8351956128698518,-0.009537029936771637,-0.056181958477546395,0.04461375591899276,-0.0382473839964004,-0.0835806005848797,0.01096230996625213,-2.8710354059628767,76.77725118483413
f_osivrank_lag,drop top tercile (edges from train),325,308,6.00872113557381,-0.018296937592205582,-0.053077993588645025,0.027638406731952413,-0.05981629290452782,-0.13937671122377038,-0.0021798531629869597,-4.1519355312322235,19.805194805194805
