factor,outcome,month,n,spread
f_iv,y_tp,2026-03,304,-0.06688021743350805
f_iv,y_tp,2026-08,231,-0.06493506493506493
f_iv_rank,y_tp,2026-03,501,0.09580838323353294
f_iv_rank,y_tp,2026-08,231,0.038961038961038974
f_rv20,y_tp,2026-03,339,0.014253867459298797
f_rv20,y_tp,2026-08,231,-0.04945054945054947
f_vrp,y_tp,2026-08,231,-0.07792207792207793
f_hujacobs,y_tp,2026-03,339,0.09374531273436328
f_hujacobs,y_tp,2026-08,231,0.016603649515041924
f_logmoney,y_tp,2026-02,239,-0.012500000000000011
f_logmoney,y_tp,2026-03,600,0.024999999999999994
f_logmoney,y_tp,2026-08,231,0.025974025974025955
f_otm,y_tp,2026-02,239,0.037500000000000006
f_otm,y_tp,2026-03,600,-0.009999999999999981
f_otm,y_tp,2026-08,231,-0.025974025974025983
f_abs_delta,y_tp,2026-03,304,-0.027567462628615813
f_abs_delta,y_tp,2026-08,231,0.12987012987012986
f_dte,y_tp,2026-02,239,-0.09749552772808587
f_dte,y_tp,2026-03,600,-0.11277518020650691
f_dte,y_tp,2026-08,231,-0.2104072398190045
f_log_prem,y_tp,2026-02,239,0.012499999999999997
f_log_prem,y_tp,2026-03,600,-0.04000000000000001
f_log_prem,y_tp,2026-08,231,-0.12987012987012989
f_vol_oi,y_tp,2026-02,239,0.1
f_vol_oi,y_tp,2026-03,594,0.05555555555555555
f_vol_oi,y_tp,2026-08,223,0.13657657657657657
f_ask_share,y_tp,2026-02,239,-0.024778623582414172
f_ask_share,y_tp,2026-03,600,-0.0675
f_ask_share,y_tp,2026-08,231,0.038961038961038974
f_trade_count,y_tp,2026-02,239,0.056617647058823536
f_trade_count,y_tp,2026-03,600,0.08879605566754913
f_trade_count,y_tp,2026-08,231,0.11621621621621622
f_und_1d,y_tp,2026-03,339,0.11166429587482221
f_und_1d,y_tp,2026-08,231,-0.05883386020372322
f_und_5d,y_tp,2026-03,339,0.004344328238133549
f_und_5d,y_tp,2026-08,231,0.012987012987012991
f_und_30d,y_tp,2026-03,339,0.052199563934846746
f_und_30d,y_tp,2026-08,231,-0.050428477257745546
f_mom_align_5d,y_tp,2026-03,339,0.07096034087184527
f_mom_align_5d,y_tp,2026-08,231,0.1452922077922078
f_maxpain_dist,y_tp,2026-03,501,-0.041916167664670656
f_maxpain_dist,y_tp,2026-08,231,0.12987012987012986
f_minutes_open,y_tp,2026-02,239,-0.012499999999999983
f_minutes_open,y_tp,2026-03,600,0.02362745098039215
f_minutes_open,y_tp,2026-08,231,-0.07388663967611338
f_minutes_close,y_tp,2026-02,239,0.012499999999999983
f_minutes_close,y_tp,2026-03,600,-0.026428571428571412
f_minutes_close,y_tp,2026-08,231,0.08461538461538462
f_mom5d_lag,y_tp,2026-03,331,0.019305019305019322
f_mom5d_lag,y_tp,2026-08,231,-0.06112554112554114
f_mom20d_lag,y_tp,2026-03,211,0.029685916919959476
f_mom20d_lag,y_tp,2026-08,231,0.07335907335907338
f_rsi14_lag,y_tp,2026-03,331,0.0543107898812597
f_rsi14_lag,y_tp,2026-08,231,0.05234239444765759
f_tox_lag,y_tp,2026-03,274,0.07600394185760037
f_tox_lag,y_tp,2026-08,231,0.0679314565483476
f_osiv_lag,y_tp,2026-03,288,-0.04111111111111111
f_osiv_lag,y_tp,2026-08,227,-0.08779220779220781
f_osivrank_lag,y_tp,2026-03,288,-0.01453245979749851
f_osivrank_lag,y_tp,2026-08,227,0.059496567505720827
f_oibuild_lag,y_tp,2026-08,225,0.0019298245614035037
f_oimom_lag,y_tp,2026-08,225,0.007122507122507116
f_gamma_lag,y_tp,2026-08,231,0.17982456140350875
f_netbull_lag,y_tp,2026-03,331,-0.08089141773352299
f_netbull_lag,y_tp,2026-08,231,-0.06493506493506496
f_sweepshare_lag,y_tp,2026-03,331,0.2874902874902875
f_sweepshare_lag,y_tp,2026-08,231,0.024236037934668053
f_vol20_lag,y_tp,2026-03,211,-0.01209677419354839
f_vol20_lag,y_tp,2026-08,231,0.005128205128205138
f_hujacobs_lag,y_tp,2026-03,211,0.09038978494623656
f_hujacobs_lag,y_tp,2026-08,231,-0.03586497890295359
f_mktgex_lag,y_tp,2026-08,231,-0.02557251908396946
