n,n_days,n_bins,n_hi,n_lo,q_hi_mean,q_lo_mean,spread,spread_lo95,spread_hi95,spearman,spearman_lo95,spearman_hi95,p_boot,factor,outcome
883,53,3,256,313,0.109375,0.23322683706070288,-0.12385183706070288,-0.19940669799299138,-0.06890278605271506,-0.12979261603697065,-0.22097952560975417,-0.06425248136326071,0.002,f_dte,y_tp
883,53,3,256,313,-0.02672573076784311,-0.03833034507342307,0.011604614305579956,-0.04398284765988396,0.06387019028634319,0.142617220417067,0.007632146963648568,0.24421285786533034,0.696,f_dte,y_ret
880,53,3,293,294,0.19795221843003413,0.14285714285714285,0.05509507557289128,-0.02683576093194967,0.1331899826049945,0.06895158484211983,-0.013128670591650803,0.14943626061596627,0.186,f_vol_oi,y_tp
880,53,3,293,294,0.004577004892164137,-0.05980092981754468,0.06437793470970882,9.994972391715151e-05,0.11682120599440582,0.0936283400584409,-0.03404899253207343,0.18561379679672682,0.05,f_vol_oi,y_ret
508,51,3,169,170,0.25443786982248523,0.20588235294117646,0.04855551688130877,-0.08670757161677338,0.17212515881108517,0.04292544640199557,-0.10313280265162612,0.19206715697588317,0.448,f_abs_delta,y_tp
508,51,3,169,170,0.033387333489089094,-0.037730487834680276,0.07111782132376937,-0.011668767471558903,0.1572483826821719,0.17733873213716847,0.03532777947703498,0.32127410086540265,0.094,f_abs_delta,y_ret
883,53,3,294,295,0.19047619047619047,0.17966101694915254,0.010815173527037925,-0.06221139384949946,0.0958994443967395,0.020508600172694257,-0.05455898159756878,0.10201580688697937,0.78,f_otm,y_tp
883,53,3,294,295,-0.014400098784994703,-0.020313344422781036,0.005913245637786333,-0.036049833024638316,0.06215320726706856,-0.015097231950093106,-0.10503839110570604,0.08329979129270844,0.78,f_otm,y_ret
462,44,3,145,154,0.1724137931034483,0.2077922077922078,-0.03537841468875952,-0.19111496385778382,0.11028604349857693,-0.02726315655351028,-0.1748787176418036,0.1298684338289558,0.646,f_hujacobs,y_tp
462,44,3,145,154,0.013599867425943492,-0.011751079649188154,0.025350947075131646,-0.08144797317115526,0.13002063901024,0.10173161583191934,-0.06530267916955175,0.26887927865875033,0.652,f_hujacobs,y_ret
351,44,3,117,117,0.1623931623931624,0.2564102564102564,-0.09401709401709399,-0.22912475831040383,0.050476029336056376,-0.08992431907753917,-0.20142331287459617,0.05535105385206203,0.174,f_vrp,y_tp
351,44,3,117,117,-0.03777262800443666,0.018808254325509102,-0.056580882329945764,-0.13650224970820216,0.029145748662851183,-0.0754060691019124,-0.18779609207709874,0.0653262723710276,0.166,f_vrp,y_ret
756,52,3,252,252,0.1746031746031746,0.19047619047619047,-0.015873015873015872,-0.09846137214200493,0.05871624262281343,-0.02246329105203776,-0.10597963426818788,0.0585240233148357,0.7,f_prior_flow_align,y_tp
756,52,3,252,252,-0.0162112671349547,-0.0217206753549987,0.005509408220043997,-0.05204305504965964,0.05280340811873839,-0.0028212425859548552,-0.10091233768310554,0.06722964462628654,0.852,f_prior_flow_align,y_ret
883,53,3,294,295,0.14285714285714285,0.1694915254237288,-0.026634382566585957,-0.09816662214973632,0.034713130126684234,-0.04144200358873566,-0.11776640421571044,0.0304330692620153,0.36,f_log_prem,y_tp
883,53,3,294,295,-0.024448762279955967,-0.03601728309207035,0.011568520812114381,-0.03241739883208078,0.050327250180656646,0.035259266166742464,-0.048213203534851895,0.10274162438922484,0.608,f_log_prem,y_ret
703,45,3,234,237,0.21367521367521367,0.1350210970464135,0.07865411662880017,-9.165393991397538e-05,0.1654390792337645,0.09925190281304737,0.006137432610722339,0.20627142246742947,0.052,f_iv_rank,y_tp
703,45,3,234,237,0.000240121154969672,-0.024697289808128915,0.024937410963098587,-0.023985403142042255,0.07925575177411466,0.04862342290685838,-0.048827354933192374,0.14613948837780477,0.336,f_iv_rank,y_ret
