col,retained_n,dropped_n,retained_med,dropped_med,ks_p
days_to_expiry,1205,431,7.0,7.0,0.0007350530333791661
premium,1205,431,166775.0,176582.0,0.6457495442121627
volume,1205,431,2534.0,2862.0,0.07928084672193503
open_interest,1205,431,3602.0,2177.0,3.4518713523706805e-05
volume_oi_ratio,1189,429,0.6474201474201474,1.1890080428954424,9.167692735276481e-08
spot_price,1205,431,438.6,418.0,0.0006575954912774986
contract_price,1205,431,5.2,5.0,0.12693766979910096
log_moneyness,1205,431,-0.0011121861696591316,-0.0009663439061034657,0.09167445098009655
delta,768,22,0.319,0.34385,0.20411086247860333
iv,768,22,0.44315,0.4979,0.42313659547986315
iv_rank,1000,25,33.34495,37.2733,0.6687632059984371
realized_vol_20d,705,102,0.3331415877283864,0.408580546422806,0.0015508440263855491
entry_price,1205,431,5.2,5.0,0.12693766979910096
minutes_since_open,1205,431,76.0,86.0,2.5065553329348244e-05
sv_net_ask_share,1205,431,1.0,1.0,0.9380963819137319
