n,n_days,n_bins,n_hi,n_lo,q_hi_mean,q_lo_mean,spread,spread_lo95,spread_hi95,spearman,spearman_lo95,spearman_hi95,p_boot,population,factor,outcome,nq,is_spread,is_n,oos_spread,oos_lo95,oos_hi95,oos_n,oos_sign_agrees,split_date,q_value,q_value_dedup
1205,67,3,331,445,0.1117824773413897,0.2449438202247191,-0.1331613428833293,-0.1940246345053942,-0.0860143776295935,-0.1479508589091722,-0.2215882147815424,-0.0815246667677257,0.001,P1_orion_strict,f_dte,y_tp,3,-0.1192318319977894,886.0,-0.2924075275794938,-0.4787329994881063,-0.1287825985459881,319.0,True,2026-05-13,0.0268333333333333,0.03175
1205,67,3,331,445,0.0060422960725075,0.0584269662921348,-0.0523846702196272,-0.0877090445864519,-0.0240349783249213,-0.1656846403608793,-0.2374283435588223,-0.091449684765011,0.001,P1_orion_strict,f_dte,y_orion_opt,3,-0.0818596297319701,886.0,-0.0572355613238157,-0.1820144373677417,0.0294117647058823,319.0,True,2026-05-13,0.0268333333333333,
1205,67,3,331,445,0.0060422960725075,0.0584269662921348,-0.0523846702196272,-0.0877090445864519,-0.0240349783249213,-0.1656846403608793,-0.2374283435588223,-0.091449684765011,0.001,P1_orion_strict,f_dte,y_orion_pess,3,-0.0818596297319701,886.0,-0.0572355613238157,-0.1820144373677417,0.0294117647058823,319.0,True,2026-05-13,0.0268333333333333,0.03175
1189,67,3,395,397,0.0531645569620253,0.0075566750629722,0.045607881899053,0.0177495976613355,0.0776530473397402,0.1272068765532365,0.0540265543133211,0.1988130181489918,0.001,P1_orion_strict,f_vol_oi,y_orion_opt,3,0.04759583014093,880.0,0.0448240165631469,-0.0063198669721607,0.102220621450161,309.0,True,2026-05-13,0.0268333333333333,
1189,67,3,395,397,0.0531645569620253,0.0075566750629722,0.045607881899053,0.0177495976613355,0.0776530473397402,0.1272068765532365,0.0540265543133211,0.1988130181489918,0.001,P1_orion_strict,f_vol_oi,y_orion_pess,3,0.04759583014093,880.0,0.0448240165631469,-0.0063198669721607,0.102220621450161,309.0,True,2026-05-13,0.0268333333333333,0.03175
319,24,2,212,107,0.0022581470665518,-0.0078932764566961,0.010151423523248,0.0027263200214218,0.0262057255741269,0.1581301484355334,0.0723049886233985,0.2837579824036686,0.001,P1_orion_strict,f_ask_share,y_und_return_1d,3,,,,,,,,,0.0268333333333333,0.03175
768,62,3,256,256,0.0412902120183708,-0.076721466934007,0.1180116789523779,0.0390360655291823,0.2021390346601859,0.2534560425058379,0.1386329968748771,0.3584987410228563,0.003,P1_orion_strict,f_abs_delta,y_ret,3,0.1055200570206244,449.0,0.1382121529999847,0.0525423509042593,0.2361025695195772,319.0,True,2026-05-13,0.0689999999999999,0.0762
633,54,3,210,225,0.0095238095238095,0.0444444444444444,-0.0349206349206349,-0.0758669829361577,-0.0066178819814296,-0.0621798070475641,-0.1321866176668093,0.0018002679299512,0.006,P1_orion_strict,f_osiv_lag,y_orion_opt,3,-0.0186034658511722,325.0,0.0153846153846153,0.0,0.0255176102699144,308.0,False,2026-05-13,0.1073333333333333,
633,54,3,210,225,0.0095238095238095,0.0444444444444444,-0.0349206349206349,-0.0758669829361577,-0.0066178819814296,-0.0621798070475641,-0.1321866176668093,0.0018002679299512,0.006,P1_orion_strict,f_osiv_lag,y_orion_pess,3,-0.0186034658511722,325.0,0.0153846153846153,0.0,0.0255176102699144,308.0,False,2026-05-13,0.1073333333333333,0.127
1189,67,3,395,397,0.2253164556962025,0.1410579345088161,0.0842585211873864,0.0200667714863642,0.1416405032839403,0.0961723868624449,0.0343626807871457,0.1515105247281878,0.012,P1_orion_strict,f_vol_oi,y_tp,3,0.0675396438438857,880.0,0.1180124223602484,-0.0375201812352047,0.2444947376265879,309.0,True,2026-05-13,0.1931999999999999,0.21771428571428572
