n,n_days,n_bins,n_hi,n_lo,q_hi_mean,q_lo_mean,spread,spread_lo95,spread_hi95,spearman,spearman_lo95,spearman_hi95,p_boot,population,factor,outcome,nq,is_spread,is_n,oos_spread,oos_lo95,oos_hi95,oos_n,oos_sign_agrees,split_date,q_value
1012,65,3,337,338,0.17210682492581603,0.17455621301775148,-0.002449388091935456,-0.07342946746903337,0.07300296187740613,-0.006871918577255532,-0.08816878591210041,0.07367412388175591,0.9,P1_orion_strict,f_prior_flow,y_tp,3,0.014981273408239681,801.0,-0.06349206349206349,-0.2194565251317878,0.08779904306220088,211.0,False,2026-05-13,0.912
1012,65,3,337,338,-0.034571348544066294,-0.0295203189638888,-0.005051029580177495,-0.06751661044972072,0.048583554729661235,-0.03198513180061416,-0.1460210228541856,0.06099603356394981,0.89,P1_orion_strict,f_prior_flow,y_ret,3,0.0111962701249457,801.0,-0.06593998627652618,-0.20435419998598098,0.03580768374873827,211.0,False,2026-05-13,0.912
1012,65,3,337,338,0.02373887240356083,0.026627218934911243,-0.0028883465313504116,-0.023550048838894666,0.019183985130922683,0.0011781551607341974,-0.05627795924521911,0.06128205984106597,0.827,P1_orion_strict,f_prior_flow,y_orion_pess,3,0.0,801.0,0.007369614512471655,-0.0625,0.07407407407407407,211.0,False,2026-05-13,0.912
286,24,3,95,96,-0.007154336492073179,-0.00023814041051454377,-0.006916196081558635,-0.026346720167320606,0.0015839050616141398,-0.057468020892645404,-0.2071712695661119,0.03446001372777994,0.121,P1_orion_strict,f_prior_flow,y_und_return_1d,3,,,,,,,,,0.912
1012,65,3,337,338,0.16913946587537093,0.1893491124260355,-0.020209646550664567,-0.0981700201574818,0.0415421350574768,-0.023742989387714866,-0.10784590508762695,0.04630193418544575,0.568,P1_orion_strict,f_prior_flow_align,y_tp,3,-0.02247191011235955,801.0,-0.08813747228381372,-0.24087276169829386,0.0631032608695652,211.0,True,2026-05-13,0.912
1012,65,3,337,338,-0.04169457458006215,-0.02333179749953462,-0.01836277708052753,-0.10284750243235044,0.040130209285094434,-0.0005765474387633318,-0.13009273215087375,0.09461431570960797,0.558,P1_orion_strict,f_prior_flow_align,y_ret,3,-0.01212485718212087,801.0,-0.11793784617596814,-0.3424617635100202,0.009690642561765345,211.0,True,2026-05-13,0.912
1012,65,3,337,338,0.026706231454005934,0.023668639053254437,0.0030375924007514966,-0.02650331449635879,0.026835959404943783,0.018439239625876385,-0.05218153106148687,0.08123738803575077,0.83,P1_orion_strict,f_prior_flow_align,y_orion_pess,3,0.007490636704119851,801.0,-0.04878048780487805,-0.125,0.0,211.0,False,2026-05-13,0.912
286,24,3,95,96,-0.0010526497389906758,-0.0056825895827567,0.004629939843766024,-0.007513831777134123,0.020770885221113256,0.050541000937276724,-0.07194373793891633,0.16354263990451706,0.321,P1_orion_strict,f_prior_flow_align,y_und_return_1d,3,,,,,,,,,0.912
1012,65,3,337,344,0.18397626112759644,0.18313953488372092,0.000836726243875513,-0.089335318670151,0.07884682554120287,-0.014282926041782133,-0.1190241550380154,0.07454786201981962,0.912,P1_orion_strict,f_prior_cnt,y_tp,3,-0.009000913798355159,801.0,-0.03676470588235295,-0.2095432352563279,0.2085813492063492,211.0,True,2026-05-13,0.912
1012,65,3,337,344,-0.022200521950099486,-0.011538781000022013,-0.010661740950077473,-0.06713016202593194,0.05441056726113058,-0.016690093785882182,-0.13046332136869584,0.10724835867998843,0.815,P1_orion_strict,f_prior_cnt,y_ret,3,-0.017329992216668783,801.0,0.07165932660201002,-0.03921462532489227,0.2101317426949348,211.0,False,2026-05-13,0.912
1012,65,3,337,344,0.020771513353115726,0.02616279069767442,-0.005391277344558694,-0.029499747396208056,0.021433019063869123,-0.021317981885734746,-0.08130369396725053,0.04521328451534118,0.706,P1_orion_strict,f_prior_cnt,y_orion_pess,3,-0.0061833688699360345,801.0,0.026960784313725488,-0.0345952023988006,0.09996120422098076,211.0,False,2026-05-13,0.912
286,24,3,93,103,-0.0029391476795811444,-0.004690320171486017,0.0017511724919048724,-0.008726685625070502,0.017243541004789642,-0.02486857615369846,-0.19529916996554905,0.13207768213632293,0.6905241935483871,P1_orion_strict,f_prior_cnt,y_und_return_1d,3,,,,,,,,,0.912
